id,noc,medal
1201,KOR,Bronze
1202,KOR,Bronze
1203,CAN,Silver
1204,DEN,Bronze
1205,BEL,Silver
1206,UZB,Silver
1207,URS,Silver
1208,URS,Bronze
1209,IRI,Silver
1210,URS,Silver
1211,UKR,Bronze
1212,FRA,Bronze
1213,ALG,Bronze
1214,URS,Silver
1215,GER,Silver
1216,GER,Silver
1217,GER,Gold
1218,GDR,Silver
1219,USA,Silver
1220,USA,Bronze
1221,GER,Silver
1222,GER,Silver
1223,GER,Gold
1224,USA,Gold
1225,ITA,Gold
1226,JAM,Gold
1227,CAN,Silver
1228,CAN,Silver
1229,USA,Gold
1230,USA,Silver
1231,CAN,Gold
1232,CAN,Gold
1233,GBR,Gold
1234,GBR,Bronze
1235,USA,Silver
1236,JAM,Gold
1237,JAM,Gold
1238,GBR,Silver
1239,GBR,Gold
1240,FRA,Bronze
1241,FRA,Silver
1242,FRA,Bronze
1243,BAH,Silver
1244,AUS,Gold
1245,AUS,Silver
1246,USA,Gold
1247,URS,Gold
1248,UKR,Gold
1249,TCH,Silver
1250,YUG,Silver
1251,POL,Silver
1252,GER,Bronze
1253,PAK,Bronze
1254,PAK,Silver
1255,USA,Bronze
1256,YUG,Silver
1257,USA,Gold
1258,USA,Silver
1259,USA,Gold
1260,USA,Gold
1261,USA,Gold
1262,USA,Silver
1263,JPN,Gold
1264,NZL,Silver
1265,ANZ,Silver
1266,USA,Silver
1267,USA,Silver
1268,USA,Bronze
1269,USA,Gold
1270,USA,Gold
1271,USA,Gold
1272,NED,Silver
1273,CAN,Bronze
1274,HUN,Silver
1275,GRE,Silver
1276,HUN,Bronze
1277,BUL,Bronze
1278,FRA,Bronze
1279,CUB,Gold
1280,RUS,Bronze
1281,ROU,Bronze
1282,ROU,Silver
1283,KAZ,Gold
1284,ROU,Gold
1285,ROU,Gold
1286,URS,Silver
1287,URS,Bronze
1288,RUS,Silver
1289,RUS,Bronze
1290,ITA,Bronze
1291,HUN,Silver
1292,USA,Bronze
1293,HUN,Gold
1294,HUN,Silver
1295,HUN,Gold
1296,HUN,Gold
1297,HUN,Silver
1298,URS,Silver
1299,ITA,Bronze
1300,ITA,Gold
1301,ITA,Gold
1302,ESP,Gold
1303,GER,Bronze
1304,USA,Bronze
1305,CAN,Bronze
1306,CAN,Bronze
1307,CRO,Gold
1308,CRO,Bronze
1309,URU,Bronze
1310,HUN,Silver
1311,YUG,Bronze
